@relation ProcessedData

@attribute text string
@attribute class {衣/上身類,衣/下身類,衣/內著類,衣/其它,衣/長衣類,行/台鐵,行/自行車,行/汽車,行/其它,行/飛機,行/高鐵,行/機車,住/水,住/瓦斯,住/其它,住/電,其它,食/水果類,食/水產類,食/肉類/牛,食/肉類/羊,食/肉類/豬,食/肉類/雞,食/豆類,食/乳品類,食/其它,食/穀類,食/油脂類,食/蛋類,食/蔬菜類}

@data
'【 adidas 愛迪達 】 連帽 外套 男',衣/上身類
'【 LANNI 藍尼 】 連帽 千 鳥 格紋 毛呢 外套',衣/上身類
'【 LEVIS 】 男款 TYPEIII 丹寧 牛仔 外套 背部 塗鴉 黑色 牛仔 外套',衣/上身類
'【 MYVEGA 麥雪爾 】 MA 棉質 雙排 刻字釦 綁帶 柔軟 風衣 外套',衣/上身類
'【 ONEY 歐妮 】 韓版 撞色 邊線 雙面 毛呢 風衣 外套',衣/上身類
'【 Shiny 藍 格子 】 素色 連帽 無釦 長袖 毛呢 外套',衣/上身類
'【 TOWN’WEAR 棠葳 】 簡約 混色 毛呢 連帽 外套',衣/上身類
'ADIDAS 男 連帽 上衣',衣/上身類
'BUFFALO 男 短袖',衣/上身類
'GERRY 男 外套',衣/上身類
'HURLEY 男 連帽 上衣',衣/上身類
'KAWS 印花 休閒 上衣',衣/上身類
'NAUTICA 男 上衣',衣/上身類
Polo衫,衣/上身類
'QUEENSHOP S 女裝 長袖 側 抽皺 鏤空 綁帶 造型 上衣',衣/上身類
'QUEENSHOP S 女裝 長袖 單肩 鏤空 綁帶 坑條 上衣',衣/上身類
'QUEENSHOP S 女裝 長袖 鏤空 造型 寬版 針織 排釦 上衣',衣/上身類
'UT 印花 T恤',衣/上身類
'V領 麻花 織紋 拋袖 毛衣',衣/上身類
'W AIRism U 領 T恤',衣/上身類
'W AIRism 垂墜風 T恤',衣/上身類
'工作服 長袖 上衣',衣/上身類
'工裝 短板 布勞森 外套',衣/上身類
'中性款 襯衫',衣/上身類
'內裡 刷毛 外套',衣/上身類
'戶外 運動 夾克',衣/上身類
'毛呢 外套',衣/上身類
'牛仔 外套',衣/上身類
'牛仔 襯衫',衣/上身類
'冬季 加厚 毛衣',衣/上身類
'功能性 抓絨衣',衣/上身類
'卡通 刷絨 衛衣',衣/上身類
'印花 休閒 上衣',衣/上身類
'皮革 外套',衣/上身類
'皮革 夾克',衣/上身類
'石墨烯 美波 bra 上衣',衣/上身類
'立 領 外套',衣/上身類
'休閒 夾克',衣/上身類
'休閒 長袖 上衣',衣/上身類
'羊絨 高領衫',衣/上身類
'防水 防風 外套',衣/上身類
'防風 外套',衣/上身類
'防風 夾克',衣/上身類
'防曬 外套',衣/上身類
'防曬 長袖 外套',衣/上身類
'羽絨 外套',衣/上身類
'男友 共 穿 系列 街頭風 SPTK 帽 TEE',衣/上身類
'男款 黑色 胸 前 刺繡 Logo 撞色 拼接 衣袖 寬鬆 棒球 夾克 外套',衣/上身類
'法蘭絨 襯衫',衣/上身類
'直筒 襯衫',衣/上身類
'長袖 T恤',衣/上身類
'長袖 運動 T恤',衣/上身類
'長袖 襯衫',衣/上身類
'拉鍊 外套',衣/上身類
'保暖 發熱衣',衣/上身類
'修身 塑身衣',衣/上身類
'修身 襯衫',衣/上身類
'厚絨 連帽衣',衣/上身類
'春秋 防風 外套',衣/上身類
'柔軟 針織 刷毛 中高領 T恤',衣/上身類
'柔軟 針織 刷毛 圓領 T恤',衣/上身類
'背心式 羽絨服',衣/上身類
'軍裝 夾克',衣/上身類
'格子 襯衫',衣/上身類
'透氣 吸濕 柔軟 滑順 祕魯棉 冰棉 T恤',衣/上身類
'透氣 運動 上衣',衣/上身類
'針織 毛衣',衣/上身類
'針織 外套',衣/上身類
'針織 高領衫',衣/上身類
'針織 連帽衫',衣/上身類
'針織 開襟衫',衣/上身類
'高領 毛衣',衣/上身類
'連帽 外套',衣/上身類
'連帽 長袖 外套',衣/上身類
'連帽 衛衣',衣/上身類
'涼感 透氣 運動 T恤 男女款',衣/上身類
'單排扣 毛衣',衣/上身類
'棉麻 襯衫',衣/上身類
'棉質 EXW 極 暖 圓領 T恤',衣/上身類
'棉質 襯衫',衣/上身類
'登山 外套',衣/上身類
'短版 上衣',衣/上身類
'短袖 T恤',衣/上身類
'絨毛 上衣',衣/上身類
'絨面 夾克',衣/上身類
'運動 上衣',衣/上身類
'運動 機能 T恤',衣/上身類
'復古 花 襯衫',衣/上身類
'嫘縈 條紋 開領 上衣',衣/上身類
'寬鬆 毛衣',衣/上身類
'寬鬆 休閒 外套',衣/上身類
'寬鬆 長袖 上衣',衣/上身類
'慢跑 外套',衣/上身類
'輕便 防曬衣',衣/上身類
'輕量 羽絨服',衣/上身類
'輕薄 防水 夾克',衣/上身類
'輕薄 羽絨 外套',衣/上身類
'燈芯絨 襯衫',衣/上身類
'薄款 外套',衣/上身類
'薄款 針織 開襟衫',衣/上身類
'壓力 運動衣',衣/上身類
'雙面 穿 外套',衣/上身類
'騎行 防風衣',衣/上身類
